End_Time,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Duration,Region,State_CA,State_FL,State_Others,State_TX,City_Charlotte,City_Houston,City_Los Angeles,City_Miami,City_Orlando,City_Others,Weather_Condition_Clear / Cloudy,Weather_Condition_Fog / Low Visibility,Weather_Condition_Others,Weather_Condition_Snow,Weather_Condition_Thunderstorms / Severe Weather,Weather_Year,Weather_Month,Weather_Day,Wind_Direction_CALM,Wind_Direction_E,Wind_Direction_ENE,Wind_Direction_ESE,Wind_Direction_East,Wind_Direction_N,Wind_Direction_NE,Wind_Direction_NNE,Wind_Direction_NNW,Wind_Direction_NW,Wind_Direction_North,Wind_Direction_S,Wind_Direction_SE,Wind_Direction_SSE,Wind_Direction_SSW,Wind_Direction_SW,Wind_Direction_South,Wind_Direction_VAR,Wind_Direction_Variable,Wind_Direction_W,Wind_Direction_WNW,Wind_Direction_WSW,Wind_Direction_West,Weather_Day_of_Week_Friday,Weather_Day_of_Week_Monday,Weather_Day_of_Week_Saturday,Weather_Day_of_Week_Sunday,Weather_Day_of_Week_Thursday,Weather_Day_of_Week_Tuesday,Weather_Day_of_Week_Wednesday,Severity
533,0.0,67.0,61.0,29.18,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,1,73.63333333333334,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,6,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
308,0.0,60.0,90.0,29.98,10.0,3.0,0.0,1,0,1,0,0,0,0,0,0,0,1,29.516666666666666,9,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
561,0.0,76.0,22.0,28.67,10.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,89.61666666666666,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,5,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1087,0.0,96.0,40.0,28.94,10.0,12.0,0.0,0,0,0,0,0,0,0,0,1,0,0,44.95,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
695,0.0,78.0,82.0,29.85,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29.566666666666663,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1040,0.0,100.0,7.0,27.07,9.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,45.0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,5,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
552,0.0,67.0,79.0,29.27,10.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,1,29.583333333333332,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2022,8,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
714,0.0,80.0,58.0,29.19,10.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,29.7,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2022,8,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
964,0.0,63.0,65.0,29.92,10.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,60.0,9,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,6,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
542,0.0,80.0,27.0,29.69,10.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,62.11666666666667,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,9,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
841,0.0,64.0,15.0,23.44,10.0,23.0,0.0,0,0,1,0,0,0,0,0,0,0,1,34.96666666666667,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2020,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
392,0.0,79.0,84.0,29.78,10.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,63.28333333333333,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2022,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
436,0.0,53.0,89.0,30.11,8.0,7.0,0.0,1,0,1,0,0,0,0,1,0,0,1,34.96666666666667,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,6,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
